airline,average_booking_amount,gross_bookings,user_cancellations,commission_per_booking,fees_per_cancellation,cancellation_percentage,profit
Alruba Airlines,"$1,128",1372716,645177,0.20%,0.43%,47.00%,"-$21,966"
Alsafi Airlines,"$1,690",1480006,1228405,0.30%,0.46%,83.00%,"-$2,045,812"
Alsciaukat Airlines,$760,1894101,1117520,0.34%,0.69%,59.00%,"-$919,967"
Alsephina Airlines,"$1,798",179353,152450,0.25%,0.31%,85.00%,"-$30,848"
Alshain Airlines,"$1,780",1952305,1464229,0.12%,0.18%,75.00%,"-$580,812"
Alshat Airlines,"$1,971",686695,96137,0.10%,0.16%,14.00%,"$1,086,352"
Altair Airlines,"$1,547",680350,176891,0.36%,0.44%,26.00%,"$2,570,090"
Altais Airlines,"$1,561",1039306,509260,0.29%,0.36%,49.00%,"$1,767,963"
Alterf Airlines,$578,187509,30001,0.41%,0.71%,16.00%,"$324,842"
Aludra Airlines,"$1,553",1433527,903122,0.32%,0.40%,63.00%,"$1,561,398"
Alula Australis Airlines,$827,695671,493926,0.61%,0.79%,71.00%,"$272,984"
Alula Borealis Airlines,"$1,661",889405,738206,0.12%,0.29%,83.00%,"-$1,735,051"
Alverca Airlines,"$1,721",253877,48237,0.32%,0.38%,19.00%,"$1,080,854"
Alya Airlines,$359,1160491,34815,0.57%,1.23%,3.00%,"$2,224,776"
Alzirr Airlines,"$1,871",722063,57765,0.14%,0.27%,8.00%,"$1,601,247"
Amadioha Airlines,$511,169624,23747,0.33%,0.68%,14.00%,"$204,500"
Amansinaya Airlines,"$1,584",733163,117306,0.20%,0.37%,16.00%,"$1,585,099"
Amazon River Dolphin (Pink Dolphin) Airlines,$889,829833,506198,0.51%,0.82%,61.00%,"$77,258"
Ambert Airlines,$664,1123551,539304,0.84%,1.06%,48.00%,"$2,444,401"
Ambrosia Airlines,"$1,643",1696149,1085535,0.13%,0.24%,64.00%,"-$635,037"
American Alsatian Airlines,$545,181969,58230,0.34%,0.57%,32.00%,"$161,589"
American Bulldog Airlines,"$1,126",1125825,213907,0.28%,0.53%,19.00%,"$2,260,768"
American Cheese Airlines,"$1,545",1329386,265877,0.27%,0.35%,20.00%,"$4,059,946"
American Cocker Spaniel Airlines,$248,711572,263282,1.95%,2.83%,37.00%,"$1,598,402"
American Coonhound Airlines,$526,1303012,716657,0.80%,1.08%,55.00%,"$1,426,796"
American Cress Airlines,"$1,121",557333,300960,0.47%,0.57%,54.00%,"$1,033,294"
American Dogwood Airlines,$737,1818023,1308977,0.32%,0.63%,72.00%,"-$1,751,849"
American Eskimo Dog Airlines,"$1,694",465580,367808,0.31%,0.41%,79.00%,"-$60,990"
American Foxhound Airlines,"$1,385",243583,126663,0.38%,0.53%,52.00%,"$351,832"
American Nightshade Airlines,$915,1915880,1551863,0.32%,0.52%,81.00%,"-$1,827,176"
American Pit Bull Terrier Airlines,$250,1663802,33276,0.80%,1.52%,2.00%,"$3,184,184"
American Staffordshire Terrier Airlines,$930,683898,157297,0.41%,0.64%,23.00%,"$1,649,217"
American Water Spaniel Airlines,$717,636565,197335,0.43%,0.83%,31.00%,"$786,031"
American White Hellebore Airlines,$313,834819,467499,0.85%,1.43%,56.00%,"$134,571"
American Winterberry Airlines,"$1,175",1238902,74334,0.14%,0.35%,6.00%,"$1,788,232"
Ami Du Chambertin Airlines,"$1,627",1252245,1051886,0.27%,0.36%,84.00%,"-$754,354"
Amoenus Airlines,"$1,224",1230392,873578,0.19%,0.41%,71.00%,"-$1,539,957"
Amur Leopard Airlines,$360,1857839,1486271,1.18%,1.93%,80.00%,"-$2,422,621"
Amy Root Airlines,$320,1447519,1215916,1.02%,2.01%,84.00%,"-$3,126,062"
Anadolu Airlines,$577,1709097,136728,0.57%,0.80%,8.00%,"$5,011,071"
Anatolian Shepherd Dog Airlines,"$1,382",103548,78696,0.13%,0.32%,76.00%,"-$162,775"
Ancha Airlines,$304,755026,67952,0.79%,1.63%,9.00%,"$1,466,791"
Anchovies Airlines,$487,436262,109066,0.43%,0.95%,25.00%,"$408,993"
Anejo Enchilado Airlines,"$1,061",12561,1256,0.28%,0.46%,10.00%,"$31,215"
Angelfish Airlines,"$1,129",1313783,144516,0.41%,0.67%,11.00%,"$4,955,196"
Angetenar Airlines,$614,1464590,278272,0.77%,1.07%,19.00%,"$5,104,829"
Aniara Airlines,$981,1051261,809471,0.38%,0.64%,77.00%,"-$1,164,692"
Ankaa Airlines,"$1,679",812731,520148,0.13%,0.28%,64.00%,"-$755,190"
Anneau Du Vic-Bilh Airlines,$244,288924,124237,2.27%,3.36%,43.00%,"$581,896"
Annual Sow Thistle Airlines,$838,452911,122286,0.44%,0.66%,27.00%,"$1,002,835"
Anser Airlines,"$1,938",466817,18673,0.20%,0.35%,4.00%,"$1,697,718"
Ant Airlines,"$1,334",725681,587802,0.35%,0.48%,81.00%,"-$380,622"
Antares Airlines,"$1,977",742921,96580,0.11%,0.23%,13.00%,"$1,170,768"
Anteater Airlines,$815,431165,51740,0.45%,0.75%,12.00%,"$1,250,032"
Antelope Airlines,$961,621252,497002,0.52%,0.64%,80.00%,"$3,725"
Anthoriro Airlines,$747,981792,785434,0.21%,0.39%,80.00%,"-$708,855"
Appalachian Tea Airlines,"$1,509",471092,51820,0.11%,0.32%,11.00%,"$519,709"
Appenzell Airlines,$882,147189,1472,0.51%,0.83%,1.00%,"$654,563"
Appenzeller Dog Airlines,$283,149681,49395,0.55%,1.61%,33.00%,"$7,258"
Apple Airlines,"$1,347",705164,564131,0.15%,0.34%,80.00%,"-$1,180,444"
Apricot Airlines,$419,853064,392409,1.00%,1.47%,46.00%,"$1,170,236"
Aragon Airlines,"$1,137",1787049,1072229,0.30%,0.58%,60.00%,"-$911,392"
Arapaima Airlines,$956,901636,649178,0.51%,0.66%,72.00%,"$352,720"
Arcalis Airlines,$897,1286425,617484,0.25%,0.56%,48.00%,"-$192,449"
Arctic Fox Airlines,"$1,542",977308,273646,0.24%,0.35%,28.00%,"$2,130,142"
Arctic Hare Airlines,$403,1872781,561834,1.16%,1.72%,30.00%,"$4,822,413"
Arctic Wolf Airlines,$492,749160,292172,0.69%,1.00%,39.00%,"$1,122,993"
Arcturus Airlines,"$1,595",881039,343605,0.17%,0.25%,39.00%,"$1,009,319"
Ardi Gasna Airlines,$577,1753853,280616,0.52%,0.98%,16.00%,"$3,678,885"
Ardrahan Airlines,"$1,493",1386846,915318,0.29%,0.47%,66.00%,"-$494,269"
Arfaj Airlines,$564,1177569,153084,0.39%,0.80%,13.00%,"$1,903,305"
Arizona Sycamore Airlines,$222,837617,67009,1.59%,2.62%,8.00%,"$2,558,419"
Arkab Posterior Airlines,$616,305381,116045,0.46%,0.75%,38.00%,"$332,315"
Arkab Prior Airlines,$251,1777092,302106,1.93%,2.54%,17.00%,"$6,691,460"
Armadillo Airlines,$547,1597961,687123,0.37%,0.70%,43.00%,"$641,902"
Armenian String Airlines,"$1,930",225898,79064,0.13%,0.21%,35.00%,"$235,274"
Arneb Airlines,$961,964037,703747,0.44%,0.72%,73.00%,"-$783,184"
Aromes Au Gene De Marc Airlines,"$1,232",1156044,520220,0.31%,0.44%,45.00%,"$1,534,647"
Arrow Wood Airlines,"$1,654",1687957,877738,0.33%,0.52%,52.00%,"$1,616,385"
Asadero Airlines,$240,475384,47538,1.10%,1.68%,10.00%,"$1,063,911"
Ascella Airlines,"$1,486",1424748,769364,0.30%,0.42%,54.00%,"$1,438,425"
Asellus Australis Airlines,"$1,507",1487974,967183,0.31%,0.42%,65.00%,"$654,709"
Asellus Borealis Airlines,$836,976317,205027,0.52%,0.72%,21.00%,"$3,022,480"
Ash Airlines,$960,1958123,156650,0.42%,0.72%,8.00%,"$6,807,218"
Ash Leaved Maple Airlines,$344,1853725,852714,1.36%,2.18%,46.00%,"$2,288,605"
Ashlesha Airlines,"$1,113",1482975,1260529,0.25%,0.41%,85.00%,"-$1,650,552"
Asiago Airlines,$768,511491,117643,0.60%,0.95%,23.00%,"$1,502,709"
Asian Elephant Airlines,"$1,986",1965542,1395535,0.11%,0.28%,71.00%,"-$3,194,007"
Asian Giant Hornet Airlines,$682,1902017,1502593,0.53%,0.96%,79.00%,"-$2,982,740"
Asian Palm Civet Airlines,"$1,135",254184,58462,0.39%,0.60%,23.00%,"$724,986"
Asian Rice Airlines,"$1,639",1402430,210365,0.32%,0.39%,15.00%,"$5,951,910"
Asiatic Black Bear Airlines,$436,1402394,154263,1.25%,1.85%,11.00%,"$6,382,578"
Aspidiske Airlines,"$1,122",235050,54062,0.23%,0.52%,23.00%,"$303,541"
Asterope Airlines,$303,73299,13194,1.63%,2.69%,18.00%,"$254,698"
Atakoraka Airlines,"$1,617",117631,23526,0.14%,0.27%,20.00%,"$170,331"
Athebyne Airlines,"$1,647",1702186,238306,0.27%,0.37%,14.00%,"$6,181,999"
Atik Airlines,"$1,442",1129662,643907,0.34%,0.56%,57.00%,"$319,584"
Atlas Airlines,"$1,740",1051852,347111,0.28%,0.36%,33.00%,"$3,037,224"
Atria Airlines,"$1,153",1307353,993588,0.27%,0.39%,76.00%,"-$457,572"
Aubisque Pyrenees Airlines,$971,782877,133089,0.30%,0.41%,17.00%,"$1,773,295"
Aurochs Airlines,"$1,062",1621707,1118978,0.36%,0.66%,69.00%,"-$1,617,816"
Australian Cattle Dog Airlines,$459,1249807,574911,1.19%,1.71%,46.00%,"$2,292,648"
Australian Kelpie Dog Airlines,"$1,575",1538469,846158,0.11%,0.20%,55.00%,"-$96,154"
Australian Mist Airlines,"$1,247",1133565,872845,0.29%,0.41%,77.00%,"-$256,412"
Australian Shepherd Airlines,"$1,243",199315,5979,0.22%,0.47%,3.00%,"$520,992"
Australian Terrier Airlines,"$1,164",1414081,183831,0.18%,0.46%,13.00%,"$2,054,940"
Autun Airlines,"$1,541",375996,142878,0.30%,0.40%,38.00%,"$857,349"
Avaxtskyr Airlines,"$1,574",914937,494066,0.19%,0.30%,54.00%,"$484,002"
Avior Airlines,"$1,755",1453764,697807,0.31%,0.41%,48.00%,"$2,936,020"
Avocet Airlines,$405,1750249,157522,1.35%,1.65%,9.00%,"$8,520,040"
Axolotl Airlines,"$1,414",1005324,392076,0.34%,0.47%,39.00%,"$2,200,355"
Axolotl Airlines,$627,1239121,793037,0.40%,0.75%,64.00%,"-$609,150"
Aye Aye Airlines,"$1,711",290667,212187,0.30%,0.41%,73.00%,"-$15,871"
Ayeyarwady Airlines,$433,263441,79032,0.73%,0.96%,30.00%,"$500,276"
Azelfafage Airlines,"$1,814",1150671,586842,0.14%,0.20%,51.00%,"$820,889"
Azha Airlines,$995,1129101,700043,0.26%,0.50%,62.00%,"-$550,552"
Azmidi Airlines,"$1,883",1887868,943934,0.26%,0.33%,50.00%,"$3,369,844"
Azolla Airlines,"$1,948",440049,228825,0.14%,0.29%,52.00%,"-$82,022"
Baboon Airlines,"$1,914",1531103,1209571,0.22%,0.37%,79.00%,"-$2,176,613"
Baby Rose Airlines,"$1,278",1032855,619713,0.38%,0.58%,60.00%,"$425,536"
Baby Swiss Airlines,"$1,617",1860704,1544384,0.29%,0.48%,83.00%,"-$3,427,972"
Babybel Airlines,"$1,957",2001637,1421162,0.27%,0.44%,71.00%,"-$1,484,812"
Bactrian Camel Airlines,$701,1498930,434690,0.48%,0.68%,29.00%,"$2,931,006"
Badger Airlines,$210,107560,90350,0.93%,2.03%,84.00%,"-$175,149"
Baekdu Airlines,"$1,209",1305069,600332,0.42%,0.61%,46.00%,"$2,206,348"
Baguette Laonnaise Airlines,"$1,964",1148867,850162,0.15%,0.25%,74.00%,"-$933,571"
Baiji Airlines,$308,111572,65827,1.44%,2.48%,59.00%,"-$9,313"
Bakers Airlines,"$1,860",1155547,11555,0.08%,0.14%,1.00%,"$1,726,042"
Baladi Airlines,"$1,037",864813,103778,0.33%,0.56%,12.00%,"$2,391,378"
Balaton Airlines,$674,601251,432901,0.49%,0.92%,72.00%,"-$716,212"
Balinese Airlines,$874,414044,62107,0.48%,0.84%,15.00%,"$1,281,256"
Bamboo Airlines,"$1,585",1716950,1133187,0.14%,0.33%,66.00%,"-$2,068,925"
Banana Airlines,$874,775392,372188,0.34%,0.51%,48.00%,"$651,020"
Bandal Airlines,$951,68484,51363,0.29%,0.60%,75.00%,"-$104,952"
Banded Palm Civet Airlines,"$1,123",1949575,214453,0.16%,0.43%,11.00%,"$2,518,852"
Bandicoot Airlines,"$1,779",611581,403643,0.19%,0.35%,66.00%,"-$494,399"
Bank Cress Airlines,"$1,838",927953,361902,0.22%,0.31%,39.00%,"$1,634,031"
Banon Airlines,$745,185332,131586,0.43%,0.72%,71.00%,"-$110,385"
Baobab Airlines,$390,51818,41454,1.14%,1.93%,80.00%,"-$80,211"
Barb Airlines,$240,186371,67094,1.74%,2.28%,36.00%,"$411,356"
Barn Owl Airlines,$554,1757565,720602,0.51%,1.03%,41.00%,"$898,465"
Barnacle Airlines,$428,916277,109953,0.87%,1.43%,12.00%,"$2,726,475"
Barnard'S Star Airlines,"$1,845",1913180,1339226,0.09%,0.21%,70.00%,"-$2,117,890"
Barracuda Airlines,$622,748240,396567,0.83%,1.18%,53.00%,"$958,048"
Barramundi Fish Airlines,$985,855689,59898,0.48%,0.59%,7.00%,"$3,665,174"
Barry'S Bay Cheddar Airlines,"$1,899",1564208,1313935,0.23%,0.32%,84.00%,"-$1,186,923"
Basenji Dog Airlines,"$1,288",1684512,808566,0.14%,0.27%,48.00%,"$302,538"
Basing Airlines,"$1,359",1598529,303721,0.24%,0.45%,19.00%,"$3,324,298"
Basket Cheese Airlines,$592,1583135,395784,0.32%,0.51%,25.00%,"$1,824,562"
Basking Shark Airlines,$608,1255324,1067025,0.57%,0.89%,85.00%,"-$1,404,078"
Basset Fauve de Bretagne Airlines,$894,1686187,50586,0.48%,0.79%,3.00%,"$6,860,249"
Basset Hound Airlines,$456,1044698,365644,0.39%,0.79%,35.00%,"$522,350"
Bastard Pellitory Airlines,"$1,084",1931970,985305,0.18%,0.28%,51.00%,"$790,948"
Bat Airlines,$362,1382549,926308,0.58%,0.99%,67.00%,"-$435,918"
Baten Kaitos Airlines,"$1,111",49230,20184,0.29%,0.50%,41.00%,"$46,411"
Bath Cheese Airlines,$930,1588906,444894,0.35%,0.69%,28.00%,"$2,357,299"
Bavarian Bergkase Airlines,"$1,250",713036,85564,0.27%,0.50%,12.00%,"$1,892,114"
Bavarian Mountain Hound Airlines,$282,1875468,731433,1.74%,2.28%,39.00%,"$4,498,119"
Bay Airlines,"$1,309",202460,97181,0.32%,0.55%,48.00%,"$142,530"
Bay Laurel Airlines,$701,34326,10984,0.45%,0.89%,32.00%,"$39,353"
Baylough Airlines,"$1,356",1323781,622177,0.28%,0.42%,47.00%,"$1,448,084"
Beagle Airlines,"$1,553",358320,164827,0.15%,0.30%,46.00%,"$81,913"
Bean Airlines,$770,786583,519145,0.35%,0.71%,66.00%,"-$676,777"
Bear Airlines,"$1,086",1854159,1205203,0.48%,0.77%,65.00%,"-$500,620"
Bear Corn Airlines,"$1,441",1127906,327093,0.36%,0.43%,29.00%,"$3,832,059"
Bearberry Airlines,"$1,173",11502,4716,0.23%,0.49%,41.00%,"$3,599"
Bearded Collie Airlines,$239,291597,116639,1.43%,2.25%,40.00%,"$369,744"
Bearded Dragon Airlines,"$1,600",1903128,1027689,0.22%,0.34%,54.00%,"$1,141,877"
Beaufort Airlines,$235,195895,121455,1.82%,3.17%,62.00%,"-$67,624"
Beauvoorde Airlines,"$1,208",990957,109005,0.39%,0.66%,11.00%,"$3,848,185"
Beaver Airlines,$955,1687337,573695,0.56%,0.69%,34.00%,"$5,212,519"
Bedlington Terrier Airlines,$741,1920556,941072,0.31%,0.72%,49.00%,"-$551,197"
Beech Airlines,$474,1886714,1282966,1.02%,1.30%,68.00%,"$1,203,721"
Beemim Airlines,$212,537797,338812,1.08%,2.38%,63.00%,"-$470,679"
Beenleigh Blue Airlines,$747,1991331,119480,0.21%,0.52%,6.00%,"$2,666,392"
Beer Cheese Airlines,"$1,848",784982,565187,0.18%,0.33%,72.00%,"-$853,746"
Beetle Airlines,$528,143519,31574,0.55%,0.94%,22.00%,"$264,219"
Beid Airlines,"$1,043",1972327,611421,0.14%,0.27%,31.00%,"$1,266,235"
Bel Paese Airlines,$961,1423374,384311,0.29%,0.58%,27.00%,"$1,868,321"
Belel Airlines,"$1,146",1705701,835793,0.24%,0.46%,49.00%,"$218,503"
Belenos Airlines,"$1,884",625517,394076,0.08%,0.24%,63.00%,"-$817,239"
Bellatrix Airlines,"$1,474",1511824,846621,0.13%,0.20%,56.00%,"$361,025"
Belle Isle Cress Airlines,"$1,816",1091103,687395,0.24%,0.35%,63.00%,"$489,250"
Beluga Sturgeon Airlines,$948,85848,69537,0.58%,0.85%,81.00%,"-$88,794"
Bengal Tiger Airlines,$233,1880919,1410689,1.10%,1.97%,75.00%,"-$1,659,910"
Berehynia Airlines,$876,302823,63593,0.45%,0.75%,21.00%,"$772,924"
Bergader Airlines,$775,1193921,549204,0.34%,0.74%,46.00%,"$35,338"
Bergere Bleue Airlines,"$1,909",1407961,549105,0.18%,0.35%,39.00%,"$1,276,315"
Berkswell Airlines,$577,1590753,922637,0.60%,1.15%,58.00%,"-$565,355"
Bermuda Cress Airlines,$212,287401,54606,2.50%,3.64%,19.00%,"$1,105,087"
Bernese Mountain Dog Airlines,"$1,594",39384,7483,0.25%,0.44%,19.00%,"$104,537"
Betelgeuse Airlines,"$1,723",688040,522910,0.19%,0.33%,76.00%,"-$760,144"
Bethmale Des Pyrénées Airlines,"$1,401",1250272,787671,0.21%,0.43%,63.00%,"-$1,056,228"
Bethmale Of The Pyrenees Airlines,"$1,038",101593,37589,0.17%,0.32%,37.00%,"$50,320"
Betula Lenta Airlines,$480,144315,14432,0.68%,0.93%,10.00%,"$409,131"
Beyaz Peynir Airlines,$948,50711,4057,0.44%,0.69%,8.00%,"$184,263"
Bharani Airlines,$328,1025604,276913,1.06%,1.54%,27.00%,"$2,170,691"
Bibha Airlines,$570,1451515,711242,0.42%,0.79%,49.00%,"$246,614"
Bichir Airlines,"$1,960",1890872,302540,0.28%,0.36%,16.00%,"$8,322,859"
Bichon Frise Airlines,"$1,582",1512196,438537,0.30%,0.42%,29.00%,"$4,390,055"
Bierkase Airlines,$924,136470,54588,0.29%,0.62%,40.00%,"$58,136"
Biewer Terrier Airlines,"$1,075",615630,104657,0.37%,0.67%,17.00%,"$1,722,349"
Big Hellebore Airlines,"$1,193",1033083,754151,0.40%,0.54%,73.00%,"$42,870"
Biham Airlines,"$1,173",1142263,890965,0.21%,0.34%,78.00%,"-$774,225"
Bindweed Airlines,$747,475175,114042,0.38%,0.71%,24.00%,"$733,100"
Binturong Airlines,$784,1999459,1339638,0.54%,0.79%,67.00%,"$218,538"
Birch Airlines,"$1,575",764544,489308,0.21%,0.39%,64.00%,"-$403,372"
