airline,average_booking_amount,gross_bookings,user_cancellations,commission_per_booking,fees_per_cancellation
Alkalurops Airlines,"$1,638",613580,202481,0.33%,0.44%
Alkaphrah Airlines,"$1,995",1043878,511500,0.10%,0.20%
Alkarab Airlines,$937,186236,31660,0.59%,0.92%
Alkes Airlines,$583,1948887,38978,0.31%,0.55%
Allgauer Emmentaler Airlines,$275,1111573,66694,1.87%,2.56%
Alligator Airlines,$268,625443,494100,1.13%,2.01%
Almaaz Airlines,"$1,442",1595399,414804,0.20%,0.37%
Almach Airlines,$317,1082193,357124,0.63%,1.65%
Almond Airlines,"$1,768",364714,280830,0.21%,0.27%
Alnair Airlines,$599,1592447,143320,0.52%,0.75%
Alnasl Airlines,"$1,107",971973,145796,0.38%,0.62%
Alnilam Airlines,$959,1555097,606488,0.51%,0.76%
Alnitak Airlines,"$1,812",1962308,1373616,0.29%,0.37%
Alniyat Airlines,"$1,410",8823,0,0.26%,0.35%
Alpaca Airlines,"$1,489",631346,309360,0.36%,0.53%
Alphard Airlines,$216,1997517,119851,1.55%,2.49%
Alphecca Airlines,"$1,424",1261928,530010,0.19%,0.26%
Alpheratz Airlines,"$1,885",810386,291739,0.16%,0.24%
Alpherg Airlines,$274,882657,723779,1.93%,2.44%
Alpine Dachsbracke Airlines,$585,1135173,964897,0.33%,0.84%
Alpinus Airlines,"$1,130",427388,303445,0.44%,0.63%
Alrakis Airlines,"$1,134",1362662,422425,0.22%,0.46%
Alrescha Airlines,"$1,823",930877,493365,0.14%,0.28%
Alruba Airlines,"$1,128",1372716,645177,0.20%,0.43%
Alsafi Airlines,"$1,690",1480006,1228405,0.30%,0.46%
Alsciaukat Airlines,$760,1894101,1117520,0.34%,0.69%
Alsephina Airlines,"$1,798",179353,152450,0.25%,0.31%
Alshain Airlines,"$1,780",1952305,1464229,0.12%,0.18%
Alshat Airlines,"$1,971",686695,96137,0.10%,0.16%
Altair Airlines,"$1,547",680350,176891,0.36%,0.44%
Altais Airlines,"$1,561",1039306,509260,0.29%,0.36%
Alterf Airlines,$578,187509,30001,0.41%,0.71%
Aludra Airlines,"$1,553",1433527,903122,0.32%,0.40%
Alula Australis Airlines,$827,695671,493926,0.61%,0.79%
Alula Borealis Airlines,"$1,661",889405,738206,0.12%,0.29%
Alverca Airlines,"$1,721",253877,48237,0.32%,0.38%
Alya Airlines,$359,1160491,34815,0.57%,1.23%
Alzirr Airlines,"$1,871",722063,57765,0.14%,0.27%
Amadioha Airlines,$511,169624,23747,0.33%,0.68%
Amansinaya Airlines,"$1,584",733163,117306,0.20%,0.37%
Amazon River Dolphin (Pink Dolphin) Airlines,$889,829833,506198,0.51%,0.82%
Ambert Airlines,$664,1123551,539304,0.84%,1.06%
Ambrosia Airlines,"$1,643",1696149,1085535,0.13%,0.24%
American Alsatian Airlines,$545,181969,58230,0.34%,0.57%
American Bulldog Airlines,"$1,126",1125825,213907,0.28%,0.53%
American Cheese Airlines,"$1,545",1329386,265877,0.27%,0.35%
American Cocker Spaniel Airlines,$248,711572,263282,1.95%,2.83%
American Coonhound Airlines,$526,1303012,716657,0.80%,1.08%
American Cress Airlines,"$1,121",557333,300960,0.47%,0.57%
American Dogwood Airlines,$737,1818023,1308977,0.32%,0.63%
American Eskimo Dog Airlines,"$1,694",465580,367808,0.31%,0.41%
American Foxhound Airlines,"$1,385",243583,126663,0.38%,0.53%
American Nightshade Airlines,$915,1915880,1551863,0.32%,0.52%
American Pit Bull Terrier Airlines,$250,1663802,33276,0.80%,1.52%
American Staffordshire Terrier Airlines,$930,683898,157297,0.41%,0.64%
American Water Spaniel Airlines,$717,636565,197335,0.43%,0.83%
American White Hellebore Airlines,$313,834819,467499,0.85%,1.43%
American Winterberry Airlines,"$1,175",1238902,74334,0.14%,0.35%
Ami Du Chambertin Airlines,"$1,627",1252245,1051886,0.27%,0.36%
Amoenus Airlines,"$1,224",1230392,873578,0.19%,0.41%
Amur Leopard Airlines,$360,1857839,1486271,1.18%,1.93%
Amy Root Airlines,$320,1447519,1215916,1.02%,2.01%
Anadolu Airlines,$577,1709097,136728,0.57%,0.80%
Anatolian Shepherd Dog Airlines,"$1,382",103548,78696,0.13%,0.32%
Ancha Airlines,$304,755026,67952,0.79%,1.63%
Anchovies Airlines,$487,436262,109066,0.43%,0.95%
Anejo Enchilado Airlines,"$1,061",12561,1256,0.28%,0.46%
Angelfish Airlines,"$1,129",1313783,144516,0.41%,0.67%
Angetenar Airlines,$614,1464590,278272,0.77%,1.07%
Aniara Airlines,$981,1051261,809471,0.38%,0.64%
Ankaa Airlines,"$1,679",812731,520148,0.13%,0.28%
Anneau Du Vic-Bilh Airlines,$244,288924,124237,2.27%,3.36%
Annual Sow Thistle Airlines,$838,452911,122286,0.44%,0.66%
Anser Airlines,"$1,938",466817,18673,0.20%,0.35%
Ant Airlines,"$1,334",725681,587802,0.35%,0.48%
Antares Airlines,"$1,977",742921,96580,0.11%,0.23%
Anteater Airlines,$815,431165,51740,0.45%,0.75%
Antelope Airlines,$961,621252,497002,0.52%,0.64%
Anthoriro Airlines,$747,981792,785434,0.21%,0.39%
Appalachian Tea Airlines,"$1,509",471092,51820,0.11%,0.32%
Appenzell Airlines,$882,147189,1472,0.51%,0.83%
Appenzeller Dog Airlines,$283,149681,49395,0.55%,1.61%
Apple Airlines,"$1,347",705164,564131,0.15%,0.34%
Apricot Airlines,$419,853064,392409,1.00%,1.47%
Aragon Airlines,"$1,137",1787049,1072229,0.30%,0.58%
Arapaima Airlines,$956,901636,649178,0.51%,0.66%
Arcalis Airlines,$897,1286425,617484,0.25%,0.56%
Arctic Fox Airlines,"$1,542",977308,273646,0.24%,0.35%
Arctic Hare Airlines,$403,1872781,561834,1.16%,1.72%
Arctic Wolf Airlines,$492,749160,292172,0.69%,1.00%
Arcturus Airlines,"$1,595",881039,343605,0.17%,0.25%
Ardi Gasna Airlines,$577,1753853,280616,0.52%,0.98%
Ardrahan Airlines,"$1,493",1386846,915318,0.29%,0.47%
Arfaj Airlines,$564,1177569,153084,0.39%,0.80%
Arizona Sycamore Airlines,$222,837617,67009,1.59%,2.62%
Arkab Posterior Airlines,$616,305381,116045,0.46%,0.75%
Arkab Prior Airlines,$251,1777092,302106,1.93%,2.54%
Armadillo Airlines,$547,1597961,687123,0.37%,0.70%
Armenian String Airlines,"$1,930",225898,79064,0.13%,0.21%
Arneb Airlines,$961,964037,703747,0.44%,0.72%
Aromes Au Gene De Marc Airlines,"$1,232",1156044,520220,0.31%,0.44%
Arrow Wood Airlines,"$1,654",1687957,877738,0.33%,0.52%
Asadero Airlines,$240,475384,47538,1.10%,1.68%
Ascella Airlines,"$1,486",1424748,769364,0.30%,0.42%
Asellus Australis Airlines,"$1,507",1487974,967183,0.31%,0.42%
Asellus Borealis Airlines,$836,976317,205027,0.52%,0.72%
Ash Airlines,$960,1958123,156650,0.42%,0.72%
Ash Leaved Maple Airlines,$344,1853725,852714,1.36%,2.18%
Ashlesha Airlines,"$1,113",1482975,1260529,0.25%,0.41%
Asiago Airlines,$768,511491,117643,0.60%,0.95%
Asian Elephant Airlines,"$1,986",1965542,1395535,0.11%,0.28%
Asian Giant Hornet Airlines,$682,1902017,1502593,0.53%,0.96%
Asian Palm Civet Airlines,"$1,135",254184,58462,0.39%,0.60%
Asian Rice Airlines,"$1,639",1402430,210365,0.32%,0.39%
Asiatic Black Bear Airlines,$436,1402394,154263,1.25%,1.85%
Aspidiske Airlines,"$1,122",235050,54062,0.23%,0.52%
Asterope Airlines,$303,73299,13194,1.63%,2.69%
Atakoraka Airlines,"$1,617",117631,23526,0.14%,0.27%
Athebyne Airlines,"$1,647",1702186,238306,0.27%,0.37%
Atik Airlines,"$1,442",1129662,643907,0.34%,0.56%
Atlas Airlines,"$1,740",1051852,347111,0.28%,0.36%
Atria Airlines,"$1,153",1307353,993588,0.27%,0.39%
Aubisque Pyrenees Airlines,$971,782877,133089,0.30%,0.41%
Aurochs Airlines,"$1,062",1621707,1118978,0.36%,0.66%
Australian Cattle Dog Airlines,$459,1249807,574911,1.19%,1.71%
Australian Kelpie Dog Airlines,"$1,575",1538469,846158,0.11%,0.20%
Australian Mist Airlines,"$1,247",1133565,872845,0.29%,0.41%
Australian Shepherd Airlines,"$1,243",199315,5979,0.22%,0.47%
Australian Terrier Airlines,"$1,164",1414081,183831,0.18%,0.46%
Autun Airlines,"$1,541",375996,142878,0.30%,0.40%
Avaxtskyr Airlines,"$1,574",914937,494066,0.19%,0.30%
Avior Airlines,"$1,755",1453764,697807,0.31%,0.41%
Avocet Airlines,$405,1750249,157522,1.35%,1.65%
Axolotl Airlines,"$1,414",1005324,392076,0.34%,0.47%
Axolotl Airlines,$627,1239121,793037,0.40%,0.75%
Aye Aye Airlines,"$1,711",290667,212187,0.30%,0.41%
Ayeyarwady Airlines,$433,263441,79032,0.73%,0.96%
Azelfafage Airlines,"$1,814",1150671,586842,0.14%,0.20%
Azha Airlines,$995,1129101,700043,0.26%,0.50%
Azmidi Airlines,"$1,883",1887868,943934,0.26%,0.33%
Azolla Airlines,"$1,948",440049,228825,0.14%,0.29%
Baboon Airlines,"$1,914",1531103,1209571,0.22%,0.37%
Baby Rose Airlines,"$1,278",1032855,619713,0.38%,0.58%
Baby Swiss Airlines,"$1,617",1860704,1544384,0.29%,0.48%
Babybel Airlines,"$1,957",2001637,1421162,0.27%,0.44%
Bactrian Camel Airlines,$701,1498930,434690,0.48%,0.68%
Badger Airlines,$210,107560,90350,0.93%,2.03%
Baekdu Airlines,"$1,209",1305069,600332,0.42%,0.61%
Baguette Laonnaise Airlines,"$1,964",1148867,850162,0.15%,0.25%
Baiji Airlines,$308,111572,65827,1.44%,2.48%
Bakers Airlines,"$1,860",1155547,11555,0.08%,0.14%
Baladi Airlines,"$1,037",864813,103778,0.33%,0.56%
Balaton Airlines,$674,601251,432901,0.49%,0.92%
Balinese Airlines,$874,414044,62107,0.48%,0.84%
Bamboo Airlines,"$1,585",1716950,1133187,0.14%,0.33%
Banana Airlines,$874,775392,372188,0.34%,0.51%
Bandal Airlines,$951,68484,51363,0.29%,0.60%
Banded Palm Civet Airlines,"$1,123",1949575,214453,0.16%,0.43%
Bandicoot Airlines,"$1,779",611581,403643,0.19%,0.35%
Bank Cress Airlines,"$1,838",927953,361902,0.22%,0.31%
Banon Airlines,$745,185332,131586,0.43%,0.72%
Baobab Airlines,$390,51818,41454,1.14%,1.93%
Barb Airlines,$240,186371,67094,1.74%,2.28%
Barn Owl Airlines,$554,1757565,720602,0.51%,1.03%
Barnacle Airlines,$428,916277,109953,0.87%,1.43%
Barnard'S Star Airlines,"$1,845",1913180,1339226,0.09%,0.21%
Barracuda Airlines,$622,748240,396567,0.83%,1.18%
Barramundi Fish Airlines,$985,855689,59898,0.48%,0.59%
Barry'S Bay Cheddar Airlines,"$1,899",1564208,1313935,0.23%,0.32%
Basenji Dog Airlines,"$1,288",1684512,808566,0.14%,0.27%
Basing Airlines,"$1,359",1598529,303721,0.24%,0.45%
Basket Cheese Airlines,$592,1583135,395784,0.32%,0.51%
Basking Shark Airlines,$608,1255324,1067025,0.57%,0.89%
Basset Fauve de Bretagne Airlines,$894,1686187,50586,0.48%,0.79%
Basset Hound Airlines,$456,1044698,365644,0.39%,0.79%
Bastard Pellitory Airlines,"$1,084",1931970,985305,0.18%,0.28%
Bat Airlines,$362,1382549,926308,0.58%,0.99%
Baten Kaitos Airlines,"$1,111",49230,20184,0.29%,0.50%
Bath Cheese Airlines,$930,1588906,444894,0.35%,0.69%
Bavarian Bergkase Airlines,"$1,250",713036,85564,0.27%,0.50%
Bavarian Mountain Hound Airlines,$282,1875468,731433,1.74%,2.28%
Bay Airlines,"$1,309",202460,97181,0.32%,0.55%
Bay Laurel Airlines,$701,34326,10984,0.45%,0.89%
Baylough Airlines,"$1,356",1323781,622177,0.28%,0.42%
Beagle Airlines,"$1,553",358320,164827,0.15%,0.30%
Bean Airlines,$770,786583,519145,0.35%,0.71%
Bear Airlines,"$1,086",1854159,1205203,0.48%,0.77%
Bear Corn Airlines,"$1,441",1127906,327093,0.36%,0.43%
Bearberry Airlines,"$1,173",11502,4716,0.23%,0.49%
Bearded Collie Airlines,$239,291597,116639,1.43%,2.25%
Bearded Dragon Airlines,"$1,600",1903128,1027689,0.22%,0.34%
Beaufort Airlines,$235,195895,121455,1.82%,3.17%
Beauvoorde Airlines,"$1,208",990957,109005,0.39%,0.66%
Beaver Airlines,$955,1687337,573695,0.56%,0.69%
Bedlington Terrier Airlines,$741,1920556,941072,0.31%,0.72%
Beech Airlines,$474,1886714,1282966,1.02%,1.30%
Beemim Airlines,$212,537797,338812,1.08%,2.38%
Beenleigh Blue Airlines,$747,1991331,119480,0.21%,0.52%
Beer Cheese Airlines,"$1,848",784982,565187,0.18%,0.33%
Beetle Airlines,$528,143519,31574,0.55%,0.94%
Beid Airlines,"$1,043",1972327,611421,0.14%,0.27%
Bel Paese Airlines,$961,1423374,384311,0.29%,0.58%
Belel Airlines,"$1,146",1705701,835793,0.24%,0.46%
Belenos Airlines,"$1,884",625517,394076,0.08%,0.24%
Bellatrix Airlines,"$1,474",1511824,846621,0.13%,0.20%
Belle Isle Cress Airlines,"$1,816",1091103,687395,0.24%,0.35%
Beluga Sturgeon Airlines,$948,85848,69537,0.58%,0.85%
Bengal Tiger Airlines,$233,1880919,1410689,1.10%,1.97%
Berehynia Airlines,$876,302823,63593,0.45%,0.75%
Bergader Airlines,$775,1193921,549204,0.34%,0.74%
Bergere Bleue Airlines,"$1,909",1407961,549105,0.18%,0.35%
Berkswell Airlines,$577,1590753,922637,0.60%,1.15%
Bermuda Cress Airlines,$212,287401,54606,2.50%,3.64%
Bernese Mountain Dog Airlines,"$1,594",39384,7483,0.25%,0.44%
Betelgeuse Airlines,"$1,723",688040,522910,0.19%,0.33%
Bethmale Des Pyrénées Airlines,"$1,401",1250272,787671,0.21%,0.43%
Bethmale Of The Pyrenees Airlines,"$1,038",101593,37589,0.17%,0.32%
Betula Lenta Airlines,$480,144315,14432,0.68%,0.93%
Beyaz Peynir Airlines,$948,50711,4057,0.44%,0.69%
Bharani Airlines,$328,1025604,276913,1.06%,1.54%
Bibha Airlines,$570,1451515,711242,0.42%,0.79%
Bichir Airlines,"$1,960",1890872,302540,0.28%,0.36%
Bichon Frise Airlines,"$1,582",1512196,438537,0.30%,0.42%
Bierkase Airlines,$924,136470,54588,0.29%,0.62%
Biewer Terrier Airlines,"$1,075",615630,104657,0.37%,0.67%
Big Hellebore Airlines,"$1,193",1033083,754151,0.40%,0.54%
Biham Airlines,"$1,173",1142263,890965,0.21%,0.34%
Bindweed Airlines,$747,475175,114042,0.38%,0.71%
Binturong Airlines,$784,1999459,1339638,0.54%,0.79%
Birch Airlines,"$1,575",764544,489308,0.21%,0.39%
Bird Airlines,"$1,235",943493,528356,0.17%,0.39%
Birds Nest Airlines,"$1,648",1806417,126449,0.27%,0.43%
Birds Nest Plant Airlines,"$1,806",390719,105494,0.21%,0.32%
Birds Of Paradise Airlines,"$1,001",1556062,1260410,0.55%,0.81%
Birman Airlines,"$1,328",712105,420142,0.37%,0.62%
Bishop Kennedy Airlines,$200,32665,23192,2.16%,3.23%
Bison Airlines,$628,21132,15638,0.71%,1.00%
Bitter Nightshade Airlines,"$1,128",628565,414853,0.31%,0.43%
Bitter Weed Airlines,$895,1934304,290146,0.52%,0.65%
Bittercress Airlines,"$1,551",1423507,911044,0.17%,0.38%
Bittersweet Airlines,$768,629557,144798,0.36%,0.72%
Black Alder Airlines,$561,1426220,855732,0.49%,0.71%
Black Ash Airlines,$929,203916,2039,0.45%,0.71%
Black Birch Airlines,"$1,222",147145,2943,0.23%,0.40%
Black Cap Airlines,$964,908805,617987,0.26%,0.47%
Black Cherry Airlines,$802,361658,202528,0.41%,0.54%
Black Eyed Susan Airlines,"$1,672",53611,7506,0.23%,0.38%
Black Hellebore Airlines,$255,1832866,0,0.99%,1.46%
Black Maple Airlines,$240,1563701,93822,1.35%,2.22%
Black Marlin Airlines,"$1,255",350683,231451,0.34%,0.45%
Black Nightshade Airlines,"$1,869",1950209,1443155,0.16%,0.25%
Black Raspberry Airlines,"$1,756",1970921,59128,0.21%,0.35%
Black Rhinoceros Airlines,$814,36290,6532,0.44%,0.64%
Black Russian Terrier Airlines,"$1,960",1157262,46290,0.11%,0.23%
Black Weed Airlines,"$1,212",1116409,870799,0.29%,0.55%
Black Widow Spider Airlines,"$1,567",466441,359160,0.25%,0.41%
Blackberry Airlines,$356,1761728,88086,0.85%,1.42%
Blackhaw Airlines,"$1,869",840242,613377,0.27%,0.35%
Blackhaw Viburnum Airlines,"$1,106",55594,45587,0.39%,0.51%
Blackie Head Airlines,$202,1077210,269303,2.43%,3.74%
Blarney Airlines,"$1,156",936473,515060,0.28%,0.46%
Bleu D'Auvergne Airlines,"$1,449",1390441,111235,0.30%,0.44%
Bleu De Gex Airlines,"$1,269",6514,2736,0.18%,0.27%
Bleu De Laqueuille Airlines,$263,1161048,429588,1.41%,2.14%
Bleu De Septmoncel Airlines,$493,1741828,435457,0.84%,1.18%
Bleu De Termignon Alpage Airlines,"$1,899",1182849,733366,0.26%,0.34%
Bleu Des Causses Airlines,$810,171757,10305,0.41%,0.79%
Blobfish Airlines,$236,1638504,1327188,1.93%,2.79%
Bloodhound Airlines,"$1,725",1403317,350829,0.23%,0.31%
Blue Airlines,"$1,622",1432079,572832,0.18%,0.33%
Blue Ash Airlines,$825,1666807,300025,0.20%,0.45%
Blue Bindweed Airlines,"$1,194",1425894,242402,0.42%,0.66%
Blue Castello Airlines,"$1,597",934567,682234,0.21%,0.30%
Blue Jay Airlines,$874,862996,569577,0.50%,0.72%
Blue Lacy Dog Airlines,$694,675566,216181,0.37%,0.55%
Blue Oak Airlines,$505,1449391,260890,0.85%,1.12%
Blue Of Termignon Airlines,"$1,520",1303875,795364,0.29%,0.45%
Blue Of The Heavens Airlines,$885,353082,38839,0.32%,0.67%
Blue Rathgore Airlines,"$1,185",1933702,889503,0.39%,0.59%
Blue Whale Airlines,$476,1530976,459293,0.78%,1.09%
Blueberry Airlines,"$1,130",1985672,99284,0.37%,0.58%
Blueberry Cornel Airlines,$671,1949175,818654,0.36%,0.54%
Bluetick Coonhound Airlines,"$1,616",1265805,139239,0.27%,0.39%
Blunt Leaved Milkweed Airlines,"$1,518",1255234,426780,0.35%,0.43%
Bobcat Airlines,"$1,646",1570804,62832,0.17%,0.27%
Bocconcini Airlines,"$1,992",1936412,1181211,0.10%,0.25%
Boeren Leidenkaas Airlines,"$1,822",77942,47545,0.20%,0.33%
Bolean Birch Airlines,"$1,382",335544,127507,0.18%,0.29%
Bolognese Dog Airlines,"$1,833",732613,439568,0.15%,0.21%
Bombay Airlines,"$1,357",772782,309113,0.22%,0.44%
Bonchester Airlines,"$1,296",1769104,247675,0.43%,0.66%
Bongo Airlines,"$1,772",334536,250902,0.17%,0.31%
Bonito Fish Airlines,"$1,202",77150,64035,0.41%,0.51%
Bonobo Airlines,$277,1705429,869769,1.83%,2.51%
Booby Airlines,"$1,425",206879,109646,0.11%,0.18%
Border Collie Airlines,$718,974709,126712,0.59%,0.76%
Border Terrier Airlines,"$1,043",1052385,894527,0.31%,0.51%
Bornean Orang-utan Airlines,$201,425953,149084,1.29%,2.12%
Borneo Elephant Airlines,$643,878346,614842,0.84%,1.17%
Bosona Airlines,$291,509977,25499,1.02%,1.86%
Boston Fern Or Sword Fern Airlines,"$1,017",686762,20603,0.16%,0.33%
Boston Terrier: Complete Pet Guide Airlines,"$1,720",1460341,1139066,0.16%,0.35%
Bosworth Airlines,$678,171427,97713,0.35%,0.71%
Botein Airlines,"$1,585",269607,37745,0.11%,0.27%
Bottae Airlines,$235,2001757,0,0.90%,1.91%
Bottlenose Dolphin Airlines,"$2,000",704488,119763,0.13%,0.22%
Bougon Airlines,"$1,423",132631,76926,0.19%,0.30%
Boule Du Roves Airlines,$818,10806,7564,0.28%,0.60%
Boulette D'Avesnes Airlines,$641,774550,139419,0.33%,0.68%
Boursault Airlines,"$1,210",1199560,515811,0.14%,0.30%
Boursin Airlines,$216,795994,660675,1.56%,2.72%
Bouyssou Airlines,"$1,605",92616,52791,0.27%,0.39%
Bow Wood Airlines,$835,319991,140796,0.52%,0.66%
Bowfin Airlines,$753,1641913,788118,0.26%,0.61%
Bowhead Whale Airlines,"$1,156",712974,163984,0.35%,0.60%
Box Airlines,"$1,814",119356,7161,0.16%,0.28%
Boxelder Airlines,"$1,718",774754,534580,0.16%,0.27%
Boxer Dog Airlines,$347,1203418,240684,1.01%,1.50%
Boxwood Airlines,$654,616584,172644,0.54%,0.81%
Boykin Spaniel Airlines,$671,898905,44945,0.57%,0.88%
Bra Airlines,"$1,120",89119,24953,0.19%,0.35%
Brachium Airlines,"$1,977",1040966,614170,0.26%,0.33%
Braudostur Airlines,"$1,961",431861,82054,0.14%,0.22%
Brazilian Terrier Airlines,"$1,670",730804,175393,0.18%,0.31%
Breakfast Cheese Airlines,"$1,752",577841,439159,0.27%,0.36%
Brebis Du Lavort Airlines,"$1,441",1537863,153786,0.14%,0.34%
Brebis Du Lochois Airlines,"$1,886",1656893,82845,0.08%,0.17%
Brebis Du Puyfaucon Airlines,"$1,267",1985004,774152,0.23%,0.35%
Bresse Bleu Airlines,"$1,298",1204905,638600,0.25%,0.35%
Brick Airlines,"$1,245",327019,3270,0.21%,0.34%
Brie Airlines,$593,634475,50758,0.60%,1.07%
Brie Au Poivre Airlines,"$1,137",942843,273424,0.23%,0.47%
Brie De Meaux Airlines,$528,448094,255414,0.80%,1.16%
Brie De Melun Airlines,$815,28110,4498,0.35%,0.48%
Brie With Pepper Airlines,"$1,294",361238,25287,0.30%,0.45%
Brier Airlines,"$1,409",24969,15980,0.38%,0.48%
Brillat-Savarin Airlines,"$1,705",140278,53306,0.25%,0.43%
Brilliant Coneflower Airlines,"$1,462",1262211,643728,0.30%,0.37%
Brin Airlines,"$1,155",625598,481710,0.24%,0.51%
Brin D'Amour Airlines,$442,1779909,1370530,0.45%,0.82%
Brinza Airlines,$641,1009306,272513,0.72%,0.88%
Briquette De Brebis Airlines,$676,636163,229019,0.48%,0.92%
Briquette Du Forez Airlines,$657,1406714,576753,0.51%,0.68%
Bristly Dewberry Airlines,"$1,637",862453,724461,0.24%,0.31%
Bristly Ground Berry Airlines,"$1,186",803771,208980,0.41%,0.62%
British Timber Airlines,$983,1783224,106993,0.34%,0.61%
Brittle Bush Airlines,$691,1944547,293900,0.76%,0.95%
Broadleaf Airlines,$493,636530,343726,0.63%,1.17%
Broadleaf Plantain Airlines,"$1,989",528670,105734,0.10%,0.20%
Broccio Airlines,"$1,424",461702,101574,0.26%,0.47%
Broccio Demi-Affine Airlines,"$1,579",1505960,632503,0.10%,0.23%
Brousse Du Rove Airlines,"$1,415",684136,287337,0.37%,0.56%
Brown Bear Airlines,"$1,198",826569,611661,0.40%,0.63%
Brown Betty Airlines,$429,335495,150973,0.59%,1.20%
